place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJuxZQaUAFdkgRIwfO73Qu7Dk,Greenspeares,"23 Walton St, London SW3 2HX, United Kingdom",51.4955483,-0.165531,cafe,4.5,2
ChIJ-S0dC0EFdkgRJNa7rotG3fc,EL&N London,"239 Brompton Rd, London SW3 2EP, United Kingdom",51.496731,-0.1686268,cafe,3.9,2
ChIJiTl9thUFdkgRWe4-s_9IR3Q,Caffé Concerto - King’s Road,"52 King's Rd, London SW3 4UD, United Kingdom",51.4916165,-0.160042,cafe,4,2
ChIJ90v4QqYFdkgRwCiWfwTKz2k,Feya,"146 Brompton Rd, London SW3 1HX, United Kingdom",51.498506,-0.1662423,cafe,4,0
ChIJxaSoYmwFdkgReRiJeM-8ze8,Hagen Espresso Bar (Hagen Chelsea),"151 King's Rd, London SW3 5TX, United Kingdom",51.48792779999999,-0.1672444,cafe,4.6,2
ChIJU4kYyEAFdkgRtz03ybTe4pw,Chapati & Karak,"144 Brompton Rd, London SW3 1HY, United Kingdom",51.4985173,-0.1661016,cafe,4.1,2
ChIJuW4AjG8FdkgRDb_vqbTS508,Bluebird Chelsea,"350 King's Rd, London SW3 5UU, United Kingdom",51.48499109999999,-0.1754714,cafe,4.2,3
ChIJG_JIrs8FdkgROERSiOWgh_s,Chucs Cafe Chelsea,"65 Lower Sloane St, London SW1W 8DH, United Kingdom",51.4903472,-0.1566399,cafe,4.1,0
ChIJef9bsDgFdkgRytwDJS_m5m0,Caffé Concerto - New Knightsbridge,"78 Brompton Rd, London SW3 1ER, United Kingdom",51.4998671,-0.1635884,cafe,3.1,2
ChIJzyCNz0AFdkgROhrlFcMnzvE,Caffé Concerto - Knightsbridge,"152 Brompton Rd, London SW3 1HX, United Kingdom",51.49843180000001,-0.166371,cafe,3.6,2
ChIJByFlIyEFdkgRLsXxsLPLA3k,The English Rose Café and Tea Shop,"4 Lower Grosvenor Pl, London SW1W 0EJ, United Kingdom",51.4980729,-0.1444755,cafe,4.4,1
ChIJJ-MhPWwFdkgRKVwtA039nU0,The Ivy Chelsea Garden,"195, 197 King's Rd, London SW3 5EQ, United Kingdom",51.48702489999999,-0.1693736,cafe,4.3,3
ChIJ565hgN0EdkgRMhOboIZ7uJ8,Regency Cafe,"17-19 Regency St, London SW1P 4BY, United Kingdom",51.4939939,-0.1322235,cafe,4.7,1
ChIJi-KVCu0EdkgRDQBzlsEaAmk,Bonnington Cafe,"11 Vauxhall Grove, London SW8 1TD, United Kingdom",51.4846514,-0.1201611,cafe,4.6,1
ChIJGYRZ5pUFdkgRXen44JUgN00,Brunswick House,"30 Wandsworth Rd, London SW8 2LG, United Kingdom",51.4847523,-0.1265302,cafe,4.4,0
ChIJw7aN01oDdkgRsJLH6KnLiBQ,The Garden Cafe,"5 Lambeth Palace Rd, London SE1 7LB, United Kingdom",51.4948931,-0.1199687,cafe,4.4,0
ChIJOYeVEl4FdkgRnAuiIT19-sI,The V&A Cafe,"Cromwell Rd, London SW7 2RL, United Kingdom",51.4969754,-0.1727111,cafe,4.2,0
ChIJhyeu8YsEdkgRI2Z3q-G4vls,Cafe Van Gogh,"88 Brixton Rd, Vassal, London SW9 6BE, United Kingdom",51.47763560000001,-0.1126199,cafe,4.7,1
ChIJ-6nulQUFdkgR6zXwNIkj65I,Pear Tree Cafe,"Lakeside Cafe Battersea Park, London SW11 4NJ, United Kingdom",51.4796629,-0.1511722,cafe,4.2,2
