place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJRR3an24FdkgRCldSrK3Pgu0,Chelsea Fire Station,"264 King's Rd, London SW3 5UF, United Kingdom",51.4871857,-0.1703283,fire_station,4.8,0
ChIJf2FWiNIEdkgRG2VaMMbrq2c,Soho (A24) Fire Station,"126 Shaftesbury Ave, London W1D 5ET, United Kingdom",51.5125987,-0.1300571,fire_station,4.9,0
ChIJNZ5yaeoEdkgRMI5WTU6HHvc,London Fire Brigade,"8 Albert Embankment, London SE1 7SD, United Kingdom",51.492739,-0.1213465,fire_station,4.9,0
ChIJ6e45JlQDdkgRRlLPI5IfZVQ,Dowgate Fire Station,"94-95 Upper Thames St., London EC4R 3UE, United Kingdom",51.5100529,-0.0902268,fire_station,5,0
ChIJo3EwoJwPdkgRneAOmUcDAlA,Fulham Fire Station,"685 Fulham Rd., London SW6 5UJ, United Kingdom",51.4779579,-0.2010297,fire_station,5,0
ChIJvbAUKq0FdkgRi_GfvfH76hs,Clapham (H21) Fire Station,"29 Old Town, London SW4 0JT, United Kingdom",51.4648828,-0.1409434,fire_station,4.8,0
ChIJsxrHGCUbdkgRqy5E0EmlXco,Euston Fire Station,"Parking lot, 172 Euston Rd, London NW1 2DH, United Kingdom",51.5276478,-0.1308006,fire_station,3.9,0
ChIJ9eEojGYbdkgRo7cHMnrhHIk,Islington Fire Station,"278 Upper St, London N1 2TZ, United Kingdom",51.5402433,-0.1024266,fire_station,4.9,0
ChIJAdfxW2wDdkgRjMagiXKSTko,Old Kent Road Fire Station,"380 Old Kent Rd, London SE1 5AA, United Kingdom",51.4870247,-0.07361609999999999,fire_station,4.5,0
ChIJ6xFHtX4QdkgRTyLogqSD218,West Hampstead Fire Station,"327B W End Ln, London NW6 1RS, United Kingdom",51.5517167,-0.1927863,fire_station,4.3,0
ChIJISCHmOsGdkgRquQiH7S5uLQ,Norbury (H32) Fire Station,"1327 London Rd, Norbury, London SW16 4AU, United Kingdom",51.4068658,-0.121474,fire_station,4.8,0
ChIJ8b22q6gGdkgRWc6yk6q4a2Y,West Norwood (H25) Fire Station,"210 Knights Hill, Norwood, London SE27 0QA, United Kingdom",51.4258523,-0.1053136,fire_station,4.6,0
ChIJfcuJqX4GdkgR2qU3Oft2cDA,Direct Fire safety,"69 Nimrod Rd, London SW16 6SZ, United Kingdom",51.4253979,-0.1466364,fire_station,0,0
ChIJtzCtVzAGdkgR9GSQbJ8mhCs,Mitcham Fire Station,"421-445 London Rd, Mitcham CR4 4BJ, United Kingdom",51.3972109,-0.172745,fire_station,5,0
ChIJ3_3zjpoFdkgRjpKB4Ev9e2A,Brixton Fire Station,"57 Gresham Rd, London SW9 7NP, United Kingdom",51.463766,-0.109385,fire_station,4,0
ChIJm35KTpkFdkgRCBRe3JZkM_M,Battersea Fire Station,"11 Este Rd, London SW11 2TL, United Kingdom",51.4671433,-0.1693147,fire_station,5,0
ChIJNWasmaQIdkgRboyChCByb6E,Wimbledon Fire Station,"87 Kingston Rd, London SW19 1JN, United Kingdom",51.4155324,-0.1975421,fire_station,4.6,0
ChIJEw0DPHYDdkgR2TEqerPPdI4,Peckham Fire Station,"78-80 Peckham Rd, London SE5 8PR, United Kingdom",51.4738876,-0.0779807,fire_station,5,0
ChIJ-47VseMAdkgRXzWi3CmzJdg,Woodside Fire Station,"Croydon CR0 7AL, United Kingdom",51.3858775,-0.0624366,fire_station,4.4,0
ChIJZVBBlDICdkgReAfjAMq7KOQ,Forest Hill (E31) Fire Station,"155 Stanstead Rd, London SE23 1HP, United Kingdom",51.4425394,-0.0450289,fire_station,3.5,0
ChIJS2FiizcHdkgRInctO0zHEEE,Croydon Fire Station,"90 Old Town, Croydon CR0 1AR, United Kingdom",51.3690207,-0.1051399,fire_station,5,0
ChIJEY2OOqAIdkgRY2Z-yN_u1Tk,London Fire Brigade Control Centre,"6 Jubilee Way, London SW19 3XD, United Kingdom",51.4105642,-0.1894056,fire_station,3.4,0
ChIJdxdwfiQRdkgRAwTLdBqii6E,Willesden Fire Station,"London NW10 2HH, United Kingdom",51.5443722,-0.2366208,fire_station,5,0
ChIJ1ZHCuuQHdkgRCAwYPorcxJw,Wallington Fire Station H37,"19 Belmont Rd, Wallington SM6 8TE, United Kingdom",51.3623574,-0.1482534,fire_station,0,0
ChIJj4V34qsadkgRYGOq7Kf7owA,London Fire Brigade,"156 Harrow Rd, London W2 6NL, United Kingdom",51.5202041,-0.183022,fire_station,4.5,0
ChIJH2HZTF4bdkgRT_4_y6FMyZ4,F B U London Region,"Frome St, London N1 8PB, United Kingdom",51.534209,-0.0969995,fire_station,0,0
ChIJYXE9Z0cDdkgRfgOIq_FO6DM,Dockhead Fire Station,"8 Wolseley St, London SE1 2BW, United Kingdom",51.5007055,-0.07076199999999999,fire_station,4.7,0
ChIJic_ejMyo2EcRC9X8Y_m3PHw,Plumstead Fire Station (E25),"1 Lakedale Rd, London SE18 1PP, United Kingdom",51.487436,0.09135599999999999,fire_station,3.8,0
ChIJiUGf320CdkgRM1zvh-DMAPc,Lewisham Fire Station,"249, 259 Lewisham High St, London SE13 6NH, United Kingdom",51.45713319999999,-0.0133361,fire_station,4.8,0
ChIJM1PBkNUCdkgR2LYkEaZtZB0,Shadwell (F25) Fire Station,"290 Cable St, London E1 0BX, United Kingdom",51.5109803,-0.0559321,fire_station,4.6,0
ChIJfeeas8ocdkgRvqRv17FcSE0,Whitechapel Fire Station,"27 Commercial Rd, London E1 1LN, United Kingdom",51.5151588,-0.0690775,fire_station,4.3,0
ChIJL-uitmQbdkgRJ7aESpS-NzM,Finchley fire station,"Long Lane (Stop F, London N3 2RP, United Kingdom",51.5978131,-0.1790707,fire_station,5,0
ChIJXyt8LtocdkgR-drEjlwBT2w,Bethnal Green Fire Station,"11 Roman Rd, Bethnal Green, London E2 0HU, United Kingdom",51.5277679,-0.0533656,fire_station,4.8,0
ChIJpaj_C3mn2EcR7QTeS_NV4a4,Leytonstone Fire Station,"466 High Rd Leytonstone, London E11 3HN, United Kingdom",51.56066970000001,0.0085954,fire_station,4.2,0
ChIJgdI6OJ8bdkgRURdtXPi2wVI,Holloway Fire Station,"270-282 Hornsey Rd, Finsbury Park, London N7 7QZ, United Kingdom",51.5615402,-0.1159995,fire_station,5,0
ChIJpUijnqUcdkgRLJT-aYwDVHE,Shoreditch Fire Station,"235 Old St, London EC1V 9EY, United Kingdom",51.5264428,-0.08556319999999999,fire_station,4.3,0
ChIJxaudY8gPdkgRJ61ppK8o1VI,Hammersmith (G36) Fire Station,"G36, Laurie Arms, 190-192 Shepherds Bush Rd, London W6 7NL, United Kingdom",51.4961116,-0.2242032,fire_station,4.5,0
ChIJQVRYr3QAdkgRDrEKB31a0b4,Addington Fire Station,"197-199 Lodge Ln, New Addington, Croydon CR0 0QA, United Kingdom",51.3522218,-0.0243566,fire_station,4.5,0
ChIJZXMZRcOp2EcRTos_L4_emoA,Lee Green Fire Station,"9 Eltham Rd, London SE12 8ES, United Kingdom",51.4564524,0.0126902,fire_station,4.5,0
