place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJcz7SYWMFdkgRfxbShx-Sw5A,Chelsea and Westminster Hospital,"369 Fulham Rd., London SW10 9NH, United Kingdom",51.4843947,-0.1817018,hospital,4,0
ChIJqzEGXWkFdkgRJW4aL0N7BCU,Royal Brompton Hospital,"Sydney St, London SW3 6NP, United Kingdom",51.48920380000001,-0.1705546,hospital,4.3,0
ChIJY4oLWxoFdkgRWtNSBPfK4iI,The Lister Hospital part of HCA Healthcare UK,"Chelsea Bridge Rd, London SW1W 8RH, United Kingdom",51.4864726,-0.1501081,hospital,3.4,0
ChIJi3Mm72gFdkgRYnBlr3gdQG4,Royal Brompton Fulham Wing,"Dovehouse St, London SW3 6JY, United Kingdom",51.4900962,-0.1737789,hospital,4,0
ChIJ69Amvc0cdkgRLNOj6dq9K9k,The Royal London Hospital,"Whitechapel Rd, London E1 1FR, United Kingdom",51.51738169999999,-0.0598748,hospital,3.3,0
ChIJOWSKcyQFdkgRlDBpn_YZLTE,Cleveland Clinic London Hospital,"33 Grosvenor Pl, London SW1X 7HY, United Kingdom",51.4994785,-0.1484999,hospital,0,0
ChIJi7ccWVcDdkgRYTy6QMHZuiA,Guy's Hospital,"Great Maze Pond, London SE1 9RT, United Kingdom",51.5031901,-0.08682369999999999,hospital,4.2,0
ChIJe4cW3cAEdkgR0RK8zGZJPAQ,St Thomas' Hospital,"Westminster Bridge Rd, London SE1 7EH, United Kingdom",51.4991539,-0.1188859,hospital,4.3,0
ChIJE52681ADdkgR6Sv8TJwvcXU,London Bridge Hospital part HCA Healthcare UK,"27 Tooley St, London SE1 2PR, United Kingdom",51.5062543,-0.0860519,hospital,4.1,0
ChIJGQJ64bwadkgRQUHJ8H8eQGY,St John & St Elizabeth Hospital,"60 Grove End Rd, London NW8 9NH, United Kingdom",51.5334443,-0.1755479,hospital,3,0
ChIJjc9of1MbdkgRGvFEbt0j_vc,St Bartholomew's Hospital,"W Smithfield, London EC1A 7BE, United Kingdom",51.51749599999999,-0.1000463,hospital,4.2,0
ChIJjef2qoADdkgRC-xkLjIcQX0,King's College Hospital,"kings college hospital, Denmark Hill, London SE5 9RS, United Kingdom",51.46780140000001,-0.0938193,hospital,4,0
ChIJP_LG8LIadkgRs3wufNnBwDI,St Mary's Hospital,"Praed St, London W2 1NY, United Kingdom",51.5175558,-0.1742676,hospital,3.5,0
ChIJn8F5SosadkgR7j4MU24CXFM,Royal Free Hospital,"Pond St, London NW3 2QG, United Kingdom",51.5530368,-0.1653391,hospital,3.4,0
ChIJxzHmdVwEdkgRtrwEoe5unYg,The Lambeth Hospital,"108 Landor Rd, London SW9 9NU, United Kingdom",51.46588089999999,-0.1230276,hospital,3,0
ChIJb1nNvggGdkgRZAURrMhPQZg,St George's Hospital,"Blackshaw Rd, London SW17 0QT, United Kingdom",51.42656299999999,-0.1752284,hospital,3.8,0
ChIJGfJhHtURdkgRKj2DTIF-j4Y,Queen Charlotte's and Chelsea Hospital,"Du Cane Rd, London W12 0HS, United Kingdom",51.5163586,-0.2373884,hospital,3.6,0
ChIJ_RZKoCgbdkgRi8sLmI1Ka8Y,University College Hospital,"235 Euston Rd, London NW1 2BU, United Kingdom",51.5250869,-0.1364556,hospital,3.8,0
ChIJ-dsIG9URdkgRlmfb4pkrhVA,Hammersmith Hospital,"72 Du Cane Rd, London W12 0HS, United Kingdom",51.5171557,-0.2350796,hospital,4.1,0
ChIJYZOsWf8MdkgRAMcp4apSmlw,West Middlesex University Hospital,"Twickenham Rd, Isleworth, Middlesex TW7 6AF, United Kingdom",51.4734184,-0.3244425,hospital,3,0
ChIJG7iI3IADdkgRwdVOC6m_JYc,Maudsley Hospital,"Denmark Hill, London SE5 8AZ, United Kingdom",51.469445,-0.0911732,hospital,3.7,0
ChIJ9-pDiEer2EcRnXvpZRuyFV0,AT Medics,"26-28 Streatham Pl, Brixton Hill, London SW2 4QY, United Kingdom",51.4463533,-0.1265988,hospital,4.3,0
ChIJ01JQF-QFdkgRWNsGnXRUSH8,Springfield University Hospital,"61 Glenburnie Rd, London SW17 7DJ, United Kingdom",51.4369932,-0.1702364,hospital,2.2,0
ChIJwzqIKYcDdkgRx4CZjQFaSp0,South London and Maudsley NHS Foundation Trust,"Michael Rutter Centre, London SE5 8AZ, United Kingdom",51.4682907,-0.0909383,hospital,1.5,0
ChIJ4aCZfRoEdkgR4ORPpFKr8aE,Tulse Hill Practice,"4 Hardel Rise, Norwood, London SW2 3DX, United Kingdom",51.4407315,-0.1084756,hospital,2.6,0
ChIJxzDFhNEadkgRfLwJRhLjAG8,King Edward VII's Hospital,"5-10 Beaumont St, London W1G 6AA, United Kingdom",51.5208573,-0.1503295,hospital,4.1,0
ChIJ33qSj9QadkgRIVH1Wgfnazk,London clinic,"5 Harley St, London W1G 9QJ, United Kingdom",51.5169588,-0.1463451,hospital,3.5,0
ChIJqRHlHrwadkgRPPNeBaFY4uE,The Wellington Hospital part of HCA Healthcare UK,"Wellington Hospital South Bldg, The, 8A Wellington Pl, London NW8 9LE, United Kingdom",51.5315695,-0.1714235,hospital,3.5,0
ChIJi6nYLOEFdkgRJGEbGSYBKs0,South West London and St George's Mental Health NHS Trust,"Springfield University Hospital, 61 Glenburnie Rd, London SW17 7DJ, United Kingdom",51.435901,-0.167684,hospital,3.2,0
ChIJde33x7sPdkgR9bu4O8Rl0Gw,Charing Cross Hospital,"Fulham Palace Rd, London W6 8RF, United Kingdom",51.4868889,-0.2195543,hospital,3.9,0
ChIJ16zE0tMadkgRL_XleuaYzz0,University College Hospital at Westmoreland Street,"16-18 Westmoreland St, London W1G 8PH, United Kingdom",51.5196199,-0.1497263,hospital,4,0
ChIJUfr4YmsCdkgRELaSMxNWBDw,University Hospital Lewisham,"Lewisham High St, London SE13 6LH, United Kingdom",51.4538715,-0.0173012,hospital,3.1,0
ChIJMVjhsRkCdkgRDrCBwSeqjLQ,Bromley Road | Elysium Healthcare,"84-86 Bromley Rd, London SE6 2UR, United Kingdom",51.4392517,-0.0201766,hospital,4,0
ChIJwwKKBNcadkgR6CahIF8eBDk,The Portland Hospital Hospital part HCA Healthcare UK,"205, 209 Great Portland St, London W1W 5AH, United Kingdom",51.5230072,-0.1442722,hospital,3.3,0
ChIJOxC9_NMadkgR8iqY5NoSYxU,The Harley Street Clinic part HCA Healthcare UK,"35 Weymouth St, London W1G 8BJ, United Kingdom",51.5204137,-0.1478178,hospital,3.4,0
ChIJ1-WHz_QPdkgR-vkhQLd210I,Cromwell Hospital,"164-178 Cromwell Rd, London SW5 0TU, United Kingdom",51.4951651,-0.1913567,hospital,3.8,0
ChIJQ_Fc7VwEdkgRhMla923HFlY,Pulross Centre,"47A Pulross Rd, London SW9 8AE, United Kingdom",51.4642478,-0.1215862,hospital,2.7,0
ChIJK-5bCloDdkgR9rCf6EHGtKQ,HCA UK at The Shard,"The Shard, 32 St Thomas St, London SE1 9BS, United Kingdom",51.5040493,-0.086312,hospital,3.2,0
ChIJjc9of1MbdkgRwDocqBMWZe0,Barts Health NHS Trust,"The Royal Hospital, Whitechapel Rd, London E1 1BB, United Kingdom",51.5178708,-0.0588687,hospital,3.1,0
ChIJ8YminyIZdkgRHy22trvKqMs,Priory Hospital North London,"Grovelands House, The Bourne, London N14 6RA, United Kingdom",51.632234,-0.1176901,hospital,2.8,0
ChIJJSgM61gDdkgRzNh1qWqZtm4,Guys & St Thomas Nhs Foundation Trust,"200 Great Dover St, London SE1 4YB, United Kingdom",51.5007438,-0.09226419999999999,hospital,4.5,0
ChIJS_iiscAEdkgRYsdrhxsYUk4,Guy's and St Thomas' NHS Foundation Trust,"St Thomas' Hospital, Westminster Bridge Rd, London SE1 7EH, United Kingdom",51.5003456,-0.1180423,hospital,3.7,0
ChIJHw_yKLkEdkgRxcQyw7zdKXs,Evelina London Children's Hospital,"Westminster Bridge Rd, London SE1 7EH, United Kingdom",51.4983258,-0.1184793,hospital,4.5,0
ChIJZ-1cargEdkgR2WGlpK_FM0s,General Lying-In Hospital,"York Rd, London SE1 7NZ, United Kingdom",51.5016437,-0.1168022,hospital,0,0
ChIJO-i6hlkDdkgRfb0hwjY26G0,"Private Care at Guy's, London Bridge Hospital","Bridge Hospital Private Care at Guy's, Great Maze Pond, London SE1 9RT, United Kingdom",51.5022803,-0.0880097,hospital,4.1,0
ChIJj-xlKFoDdkgRjy3q46hrymY,Guy's Cancer Centre,"Cancer Centre, Great Maze Pond, London SE1 9RT, United Kingdom",51.502435,-0.08787450000000001,hospital,4.4,0
ChIJDYfhWKAFdkgRbFSt0zFd8Sk,Guy's and St Thomas' Hospital Private Healthcare,"St Thomas' Hospital, Westminster Bridge Rd, London SE1 7EH, United Kingdom",51.4990409,-0.1189714,hospital,5,0
ChIJj9peT7wEdkgRZ-zGscOBvzk,Cygnet Churchill,"22 Barkham Terrace, London SE1 7PW, United Kingdom",51.497192,-0.1096509,hospital,2.7,0
