place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJp9W3FakGdkgRR4vn-e5TNr8,"St Luke's C of E Primary School, Norwood","Linton Grove, Norwood, London SE27 0DZ, United Kingdom",51.4269411,-0.0998196,,4,0
ChIJafADW6AGdkgRAcEx63ajTas,Julian's Primary School - West Norwood site,"16 Wolfington Rd, Norwood, London SE27 0JF, United Kingdom",51.4312003,-0.1054614,,4.3,0
ChIJ85LWZ1QBdkgRMn-odnhjSaY,Kingswood Primary School (Upper Site),"Gipsy Rd, Norwood, London SE27 9RD, United Kingdom",51.4269176,-0.0898033,,4.1,0
ChIJS0k3TKAGdkgRMcVAlwGsBIs,Julian's Primary School Streatham,"226 Leigham Ct Rd, London SW16 2RB, United Kingdom",51.428542,-0.1151073,,4.8,0
ChIJE9AD2a0GdkgR3V5gT-AqcQM,Saint Joseph's Infant and Nursery School,"75 Crown Dl, London SE19 3NY, United Kingdom",51.4224308,-0.09917669999999999,,4.6,0
ChIJuzGucRcEdkgRocaf2THJgB4,Fenstanton Primary School,"Abbots Park, London SW2 3PW, United Kingdom",51.4426396,-0.11364,,4,0
ChIJPzbp6P8DdkgR6EJzSChI_6w,Elm Wood Primary School,"Carnac St, Norwood, London SE27 9RR, United Kingdom",51.4319475,-0.0919594,,4.3,0
ChIJG3lzzBgEdkgRvAXQg6nqUaU,Hitherfield Primary School & Children's Centre,"Leigham Vale, London SW16 2JQ, United Kingdom",51.4361648,-0.1151496,,4.8,0
ChIJF9GkelgBdkgR0oX6huh_a2s,Dulwich Wood Primary,"London SE21 8NX, United Kingdom",51.4321937,-0.08298799999999999,,4.1,0
ChIJrZPUZKQGdkgRlkVVKWhU7kw,Crown Lane Primary School and Children’s Centre,"Crown Ln, Norwood, London SW16 3HX, United Kingdom",51.4232786,-0.1092019,,4.7,0
ChIJvTBqPhgEdkgRPFNuZmbl0ZU,Streatham Wells Primary School,"50 Palace Rd, London SW2 3NJ, United Kingdom",51.4398835,-0.1160745,,4.8,0
ChIJ72X2k1oBdkgRf-EJIY5R-rU,Paxton Primary School,"Woodland Rd, Norwood, London SE19 1PA, United Kingdom",51.42224770000001,-0.08129829999999999,,4.6,0
ChIJ12cc12oEdkgRz6o2OZONsHg,Jubilee Primary School,"London SW2 2JE, United Kingdom",51.4523562,-0.1142933,,4,0
ChIJ1fu2vTkEdkgRtpHIZ6i74bs,Richard Atkins Primary School,"New Park Rd, Brixton Hill, London SW2 4JP, United Kingdom",51.44801229999999,-0.1263218,,5,0
ChIJUSlfWzwEdkgRLw8G1yipfLo,Orchard Primary School,"Christchurch Rd, Brixton Hill, London SW2 3ES, United Kingdom",51.4451073,-0.1223048,,3.7,0
ChIJnbC2FEEEdkgRJG5aSNQTsy8,Corpus Christi Primary School,"40 Trent Rd, Brixton Hill, London SW2 5BL, United Kingdom",51.4559536,-0.1201448,,5,0
ChIJgUlNLoMEdkgRRAiQbBGwoZw,"John Ruskin Primary School, Southwark","John Ruskin St, London SE5 0PQ, United Kingdom",51.4831515,-0.09686439999999999,,4.5,0
ChIJG51oxYMDdkgRl0qEhz-uhZo,Lyndhurst Primary School,"80 Grove Ln, London SE5 8SN, United Kingdom",51.470187,-0.0880522,,4.9,0
ChIJU2O3p34DdkgRLhYK0V7mi-Y,Brunswick Park Primary School,"Picton St, London SE5 7QH, United Kingdom",51.4780193,-0.0881117,,3.7,0
ChIJ-e1Yk38EdkgR3XjFDfEzFKk,Crawford Primary School,"Crawford Rd, London SE5 9NF, United Kingdom",51.4721696,-0.0952527,,4,0
ChIJ3Xr1RXoDdkgRd2_Lzhs0YnY,St George's C of E Primary School,"Coleman Rd, London SE5 7TF, United Kingdom",51.48023,-0.0843351,,4.5,0
ChIJf1hmf24DdkgRc3LoaJJ-vro,Cobourg Primary School,"Cobourg Rd, London SE5 0JD, United Kingdom",51.4848808,-0.0766934,,4.9,0
ChIJrcLnt3cDdkgRON0d7Ys5bqQ,Oliver Goldsmith Primary School,"83 Peckham Rd, London SE5 8UH, United Kingdom",51.4743473,-0.07801029999999999,,4.8,0
ChIJWwkcuI4DdkgRu9URHFYnuU0,Bessemer Grange Primary School,"London SE5 8HP, United Kingdom",51.4582698,-0.08791929999999999,,3.5,0
ChIJD6_zeoEEdkgR4rZc-E5WQw8,Comber Grove Primary School,"1-3 Comber Grove, London SE5 0LQ, United Kingdom",51.4776505,-0.0970872,,4.5,0
ChIJyV1d0IUEdkgRP6sYq1Lir80,"St John the Divine C of E Primary School, Camberwell","Warham St, Camberwell New Rd, London SE5 0SX, United Kingdom",51.4789134,-0.1035045,,3.5,0
ChIJH3cvsVAbdkgRF7WI-2tvZDs,Dallington School,"8 Dallington St, London EC1V 0BW, United Kingdom",51.5245955,-0.1004633,,3.7,0
ChIJWcTmCnUDdkgRNmDfawEBFes,St James the Great R C Primary School,"The School House Saint James the Gr, Peckham Rd, London SE15 5LP, United Kingdom",51.4743407,-0.07314559999999999,,4,0
ChIJgUc0AqwDdkgRaBKZ0q4ymjQ,Hollydale Primary School,"Hollydale primary school, Hollydale Rd, London SE15 2AR, United Kingdom",51.4676228,-0.0526331,,2.3,0
ChIJhReOxAADdkgRjUrHQUH9heE,Kender Primary School,"Kender Primary School, Kender St, London SE14 5JA, United Kingdom",51.4752743,-0.05105759999999999,,4.5,0
ChIJQen5hacDdkgRfujb7XHLY6Y,John Donne Primary School,"Wood's Rd, London SE15 2SW, United Kingdom",51.4731878,-0.0617412,,4.6,0
ChIJaQtN8tEPdkgRJbeoqwVvIFs,"St Stephen's Primary School, South Lambeth","Dorset Rd, London SW8 1EJ, United Kingdom",51.4796308,-0.1220941,,4.1,0
ChIJz8TPWRcDdkgRHJYoqQa25qE,Southwark Park Primary School,"383 Southwark Park Rd., London SE16 2JH, United Kingdom",51.49409259999999,-0.05802069999999999,,4.6,0
ChIJwYiUBzwDdkgRR0kjehDiImk,Riverside Primary School,"Janeway St, London SE16 4PS, United Kingdom",51.499573,-0.0651499,,4.7,0
ChIJ8dmer_EEdkgRnKiVyMNGSv8,Wyvil Primary School,"Wyvil Primary School, S Lambeth Rd, London SW8 2TJ, United Kingdom",51.4814958,-0.1251556,,4.9,0
ChIJN6VflV8DdkgRh-zfTVWGfqs,Ark Globe Academy,"Harper Rd, London SE1 6AF, United Kingdom",51.495337,-0.092406,,3.4,0
ChIJGSC7FTwEdkgRMZ0I5FhYHIA,Christ Church (Streatham) Church of England Primary School,"Cotherstone Rd, Brixton Hill, London SW2 3NF, United Kingdom",51.4450066,-0.1217797,,5,0
ChIJFZOjzkMEdkgRlw2utLuRyto,Sudbourne Primary School,"Hayter Rd, Brixton Hill, London SW2 5AP, United Kingdom",51.45805319999999,-0.1200556,,4.6,0
ChIJSxtscz4EdkgR7zgZegRhMPA,"Holy Trinity C of E Primary School, Upper Tulse Hill","Upper Tulse Hill, London SW2 2RL, United Kingdom",51.4474445,-0.1194092,,4.4,0
ChIJ9db1e3IEdkgRGEW89zJbpiQ,St Judes C.E. Primary School,"St. Judes C of E Primary School, Regent Rd, London SE24 0EL, United Kingdom",51.4543151,-0.1049806,,4.2,0
ChIJOde1s0gEdkgRDXruuaLikT4,Kings Avenue School,"Kings Ave, London SW4 8BQ, United Kingdom",51.4568729,-0.1295048,,3.5,0
ChIJ4QLD1XwEdkgRIQGidGvGNIU,Loughborough Primary School,"44 Minet Rd, London SW9 7UA, United Kingdom",51.4697972,-0.1047799,,4.4,0
ChIJkYsTykoEdkgRLpq64Um7szg,Bonneville Primary School,"Bonneville Gardens, London SW4 9LB, United Kingdom",51.452808,-0.139334,,4.2,0
ChIJG0s4_lIEdkgRfSKWjcmtPBI,Clapham Manor Primary School,"Belmont Rd, London SW4 0BZ, United Kingdom",51.4646538,-0.1375128,,4.8,0
ChIJRaVT80gEdkgR4AGe7mG6xH0,Iqra VA Primary School,"127 Park Hill, London SW4 9PA, United Kingdom",51.4550637,-0.1301479,,4.1,0
ChIJe2XwdVgEdkgRVl7k4RbR36E,Allen Edwards Primary School,"Studley Rd, London SW4 6RP, United Kingdom",51.4728698,-0.1269949,,4.5,0
ChIJwxVUAqsFdkgRM7gl4efARGE,Heathbrook Primary School,"1A St Rule St, Nine Elms, London SW8 3EH, United Kingdom",51.4702195,-0.1432526,,4.6,0
ChIJj3N1lK8FdkgRNPs5u2jN4SI,Belleville Wix Academy,"Wix's Ln, London SW4 0AJ, United Kingdom",51.463842,-0.15144,,4.2,0
ChIJqfEuwgkFdkgRtuWw3TZpPXU,Chesterton Primary School,"Dagnall St, London SW11 5DT, United Kingdom",51.473673,-0.1566157,,4,0
ChIJJcrQaF4EdkgRt7v0vnMd1Rk,Stockwell Primary School and Children's Centre,"Stockwell Rd, London SW9 9TG, United Kingdom",51.4667228,-0.1181829,,4.4,0
ChIJG-QTUr4FdkgRFnos_oWxnfE,Honeywell Infant & Junior Schools,"Honeywell Rd, London SW11 6EF, United Kingdom",51.4544852,-0.1626028,,5,0
ChIJDRVF_JUFdkgRAqA5HKSw8G0,Belleville Primary School,"Belleville Road, Belleville Rd, London SW11 6PR, United Kingdom",51.4572294,-0.163863,,4.2,0
ChIJaWyKlKYFdkgRZmMd46ztGio,Shaftesbury Park Primary School,"Ashbury Rd, London SW11 5UW, United Kingdom",51.4685942,-0.1571674,,4,0
ChIJUQmPxkwDdkgRAKRROlsIQ9k,The Aldgate School,"St James' Passage, Duke's Place, London EC3A 5DE, United Kingdom",51.5135319,-0.0775537,,4.7,0
ChIJUSAmjG8EdkgRxMkJFsUOCTg,Hill Mead Primary School,"Moorland Rd, London SW9 8UE, United Kingdom",51.4619185,-0.1067988,,4.4,0
ChIJE9gsXZI0cEERmMYTRo7ddp8,St John's Angell Town Primary School,"85 Angell Rd, London SW9 7HH, United Kingdom",51.4678487,-0.1083824,,4.3,0
ChIJYYyPzNoDdkgRPn_uNR3aZ2I,St Saviour's C of E Primary School,"69 Herne Hill Rd, London SE24 0AY, United Kingdom",51.4634845,-0.09823319999999999,,4.9,0
ChIJx-CQ0nAEdkgR8onkUdbbOvU,Jessop Primary School,"Lowden Rd, London SE24 0BJ, United Kingdom",51.4600218,-0.100999,,3.9,0
ChIJQ4s39TIEdkgRpDLHaqbIIc8,Telferscot Primary School,"Telferscot Rd, London SW12 0HW, United Kingdom",51.44328489999999,-0.1370863,,4,0
ChIJ4Yz3cYsEdkgR79lRRqxsCiQ,Reay Primary School,"Hackford Rd, Vassal, London SW9 0EN, United Kingdom",51.4776095,-0.1148625,,4.5,0
ChIJ3ahDkcgFdkgRe0GNoJ-tTjY,Alderbrook Primary School,"Oldridge Rd, London SW12 8PP, United Kingdom",51.4485411,-0.149858,,5,0
ChIJKZtiov8EdkgR9ZQ877SyujQ,Griffin Primary School,"Stewart's Rd, Nine Elms, London SW8 4JB, United Kingdom",51.47424239999999,-0.138421,,3.6,0
ChIJOz2Wd1cEdkgRyPX4Elhz2ss,Lark Hall Primary School,"Smedley St, London SW4 6PH, United Kingdom",51.47053769999999,-0.1292803,,3.7,0
ChIJ1wgW72oFdkgR130xYCq0Bi4,Marlborough Primary School,"Marlborough Primary School, Draycott Ave, London SW3 3AP, United Kingdom",51.4929012,-0.1659446,,4.6,0
ChIJsdVi6XoFdkgRwYwNR4SwQuo,Ashburnham Community Primary School,"17 Blantyre St, London SW10 0DT, United Kingdom",51.48158309999999,-0.1790615,,3.4,0
ChIJadrOmJ0GdkgRCW103ADey64,Sunnyhill Primary School,"Sunnyhill Rd, London SW16 2UW, United Kingdom",51.4291041,-0.1204015,,4.8,0
ChIJTeB14doFdkgRhSkffSEksSE,Rutherford House School,"217 Balham High Rd, London SW17 7BQ, United Kingdom",51.4391069,-0.1556524,,4.3,0
ChIJVdfiKPEEdkgRSIVF10rXjgw,"Herbert Morrison Primary School, Stockwell","11 Hartington Rd, London SW8 2HP, United Kingdom",51.4785353,-0.1254798,,4.7,0
ChIJQVmpSY0EdkgR5BDGa2uQg3Q,Ashmole Primary School,"Ashmole St, London SW8 1NT, United Kingdom",51.4820029,-0.1149298,,3.9,0
ChIJD9arFP4EdkgR00PYWGlj1ys,"St Georges C of E Primary School, Nine Elms","Corunna Rd, Nine Elms, London SW8 4JS, United Kingdom",51.4771324,-0.138735,,4.9,0
ChIJM3iwul4EdkgRTnn9AciLiIo,"St Andrew's Church of England Primary School, Stockwell","Kay Rd, London SW9 9DE, United Kingdom",51.4687995,-0.1225273,,4.2,0
ChIJTWwFXpYEdkgRZGdYMDJ6484,Archbishop Sumner Church of England Primary School,"Reedworth St, London SE11 4PH, United Kingdom",51.49153399999999,-0.1097222,,3.9,0
ChIJYbY4byQddkgRqQN-r-udpes,London Fields Primary School,"Westgate St, London E8 3RL, United Kingdom",51.5379022,-0.0586663,,5,0
ChIJwRAXz5ADdkgRJaCTg2JayxQ,Goose Green Primary School,"Tintagel Cres, London SE22 8HG, United Kingdom",51.4615362,-0.0769843,,4,0
ChIJGxXWcAoGdkgRu7co_Un_JJY,Gatton Primary School,"13e Broadwater Rd, London SW17 0DS, United Kingdom",51.4306479,-0.1677772,,3.7,0
ChIJB1CnVsUFdkgRxuvLqgNRWPM,Ravenstone Primary School and Nursery,"Ravenstone St, London SW12 9SS, United Kingdom",51.4412498,-0.1531333,,4.6,0
ChIJQx-5a8ADdkgRU17STTQalxM,Goodrich Community Primary School,"Dunstans Rd, London SE22 0EP, United Kingdom",51.4501645,-0.0672236,,3.5,0
ChIJ3zF-_hIDdkgRhCjdfyZj_JU,Phoenix Primary School,"Marlborough Grove, London SE1 5JT, United Kingdom",51.4875334,-0.0674053,,3.8,0
