place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJM3iwul4EdkgRTnn9AciLiIo,"St Andrew's Church of England Primary School, Stockwell","Kay Rd, London SW9 9DE, United Kingdom",51.4687995,-0.1225273,,4.2,0
ChIJCb0_K1wEdkgRGLWzJqSpWf0,Lansdowne School,"49 Combermere Rd, London SW9 9QD, United Kingdom",51.4669158,-0.1198969,,4.5,0
ChIJJcrQaF4EdkgRt7v0vnMd1Rk,Stockwell Primary School and Children's Centre,"Stockwell Rd, London SW9 9TG, United Kingdom",51.4667228,-0.1181829,,4.4,0
ChIJ4Yz3cYsEdkgR79lRRqxsCiQ,Reay Primary School,"Hackford Rd, Vassal, London SW9 0EN, United Kingdom",51.4776095,-0.1148625,,4.5,0
ChIJZa9PR5YEdkgRh-iY8uXhQq4,The Michael Tippett School,"Heron Rd, London SE24 0HZ, United Kingdom",51.461492,-0.1007673,,5,0
ChIJ4QLD1XwEdkgRIQGidGvGNIU,Loughborough Primary School,"44 Minet Rd, London SW9 7UA, United Kingdom",51.4697972,-0.1047799,,4.4,0
ChIJE9gsXZI0cEERmMYTRo7ddp8,St John's Angell Town Primary School,"85 Angell Rd, London SW9 7HH, United Kingdom",51.4678487,-0.1083824,,4.3,0
ChIJ_RuzIT4EdkgRgVTcK-apusg,Elm Court School,"Elm Park, London SW2 2EF, United Kingdom",51.4481216,-0.1169954,,2.7,0
ChIJUSAmjG8EdkgRxMkJFsUOCTg,Hill Mead Primary School,"Moorland Rd, London SW9 8UE, United Kingdom",51.4619185,-0.1067988,,4.4,0
ChIJ80MQjUEEdkgRa9lNGRDZc8Y,Trinity Academy,"56 Brixton Hill, London SW2 1QS, United Kingdom",51.4567102,-0.1195748,,2.8,0
ChIJZw_f0WYEdkgRBlUdOI6zKnU,St Helen's R C Primary School,"6A Knowle Cl, London SW9 0TQ, United Kingdom",51.4672103,-0.1136205,,4.6,0
ChIJFZOjzkMEdkgRlw2utLuRyto,Sudbourne Primary School,"Hayter Rd, Brixton Hill, London SW2 5AP, United Kingdom",51.45805319999999,-0.1200556,,4.6,0
ChIJC-KyhUEEdkgR6THc9lKB72A,South Bank UTC,"56 Brixton Hill, London SW2 1QS, United Kingdom",51.4563718,-0.119535,,5,0
ChIJrfPptfQEdkgRGJwd0EOqwEQ,Platanos College,"Clapham Rd, London SW9 0AL, United Kingdom",51.4734469,-0.1193327,,3.6,0
ChIJ12cc12oEdkgRz6o2OZONsHg,Jubilee Primary School,"London SW2 2JE, United Kingdom",51.4523562,-0.1142933,,4,0
ChIJ8Ym1Fm8EdkgRnDEpGWisOXk,Evelyn Grace Academy.,"255 Shakespeare Rd, London SE24 0QN, United Kingdom",51.4607014,-0.1042398,,2.9,0
ChIJUSlfWzwEdkgRLw8G1yipfLo,Orchard Primary School,"Christchurch Rd, Brixton Hill, London SW2 3ES, United Kingdom",51.4451073,-0.1223048,,3.7,0
ChIJdejPBIkEdkgRyUTf4dHRnbc,Christ Church SW9 Primary,"Cancell Rd, Vassal, London SW9 6HN, United Kingdom",51.4761616,-0.108612,,4.4,0
ChIJOz2Wd1cEdkgRyPX4Elhz2ss,Lark Hall Primary School,"Smedley St, London SW4 6PH, United Kingdom",51.47053769999999,-0.1292803,,3.7,0
ChIJnbC2FEEEdkgRJG5aSNQTsy8,Corpus Christi Primary School,"40 Trent Rd, Brixton Hill, London SW2 5BL, United Kingdom",51.4559536,-0.1201448,,5,0
ChIJGSC7FTwEdkgRMZ0I5FhYHIA,Christ Church (Streatham) Church of England Primary School,"Cotherstone Rd, Brixton Hill, London SW2 3NF, United Kingdom",51.4450066,-0.1217797,,5,0
ChIJvTBqPhgEdkgRPFNuZmbl0ZU,Streatham Wells Primary School,"50 Palace Rd, London SW2 3NJ, United Kingdom",51.4398835,-0.1160745,,4.8,0
ChIJSxtscz4EdkgR7zgZegRhMPA,"Holy Trinity C of E Primary School, Upper Tulse Hill","Upper Tulse Hill, London SW2 2RL, United Kingdom",51.4474445,-0.1194092,,4.4,0
ChIJuzGucRcEdkgRocaf2THJgB4,Fenstanton Primary School,"Abbots Park, London SW2 3PW, United Kingdom",51.4426396,-0.11364,,4,0
