place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJw8rXrEAFdkgRn43EZjl1OOA,Little Waitrose & Partners Knightsbridge,"118-120 Brompton Rd, London SW3 1JE, United Kingdom",51.4991486,-0.1649458,supermarket,4.2,2
ChIJvY3WhmwFdkgRYLQEbo9yv8E,Waitrose & Partners Kings Road,"196 King's Rd, London SW3 5XP, United Kingdom",51.4883253,-0.1670601,supermarket,4.2,2
ChIJz1s_6moFdkgRP8A5IBBRZG8,Sainsbury's Local,"75 Sloane Ave, London SW3 3DH, United Kingdom",51.4922032,-0.1661628,supermarket,3.3,2
ChIJVSQBzRUFdkgRAM3JRgnJjWg,Partridges,"2-5 Duke of York Square, London SW3 4LY, United Kingdom",51.4907227,-0.1606203,supermarket,4.2,0
ChIJSxGpqhMFdkgRrgg2wyK-EyI,Tesco Express,"80-81 Royal Hospital Rd, London SW3 4HN, United Kingdom",51.4859763,-0.1612812,supermarket,3,1
ChIJlZtzVEcFdkgRfavDbixpEUM,Sainsbury's Local,"Moreau House, 112-120 Brompton Rd, London SW3 1JJ, United Kingdom",51.4992671,-0.1647473,supermarket,3.5,2
ChIJnyvFjm4FdkgRdf6magay-rg,Londis,"237 King's Rd, London SW3 5EJ, United Kingdom",51.4863244,-0.1712678,supermarket,3.5,2
ChIJMV6z_GcFdkgRRTWjC3u-Diw,Tesco Express,"50-52 Old Brompton Rd, South Kensington, London SW7 3DY, United Kingdom",51.49319149999999,-0.1764082,supermarket,2.7,1
ChIJ3WgTtUAFdkgRp5oGhrZWPpE,Knights Food Fayre,"9 Montpelier St, London SW7 1EX, United Kingdom",51.4990232,-0.1658531,supermarket,4.3,0
ChIJDSRCOn0FdkgRDuhoniQg_7g,Tesco Esso Express,"458 Fulham Rd., London SW10 9UZ, United Kingdom",51.4826357,-0.1859549,supermarket,3.9,1
ChIJxYfXiV8FdkgRBpYr6sKIgXM,Sainsbury's,"158a Cromwell Rd, London SW7 4EJ, United Kingdom",51.4954833,-0.1882105,supermarket,4.3,2
ChIJzwOs-G4cdkgREblIkkivP_o,UK Supermarket,"84 Dunsmure Rd, London N16 5JY, United Kingdom",51.5706357,-0.0793256,supermarket,3.1,0
ChIJj7gVVPYPdkgRCNu9OHegOj8,Whole Foods Market,"63-97 Kensington High St, London W8 5SE, United Kingdom",51.50193909999999,-0.1903655,supermarket,4.5,3
ChIJozyOaNIEdkgR5RxEpXNUGeM,SeeWoo,"18-20 Lisle St, London WC2H 7BA, United Kingdom",51.511605,-0.1304229,supermarket,4.1,0
ChIJd_jjQMwEdkgRh1TovPapxSM,Tesco Express,"22-25 Bedford St, London WC2E 9EQ, United Kingdom",51.5110541,-0.1251813,supermarket,3.9,1
ChIJ46tWNDYbdkgR8loLcmGFl-4,The People's Supermarket,"72-76 Lamb's Conduit St, London WC1N 3LP, United Kingdom",51.5226523,-0.1187293,supermarket,4,0
ChIJZzp-xpIPdkgRtZn4TIVXxnk,Tesco Superstore,"W Cromwell Rd, London W14 8PB, United Kingdom",51.4927617,-0.2010743,supermarket,4.1,1
ChIJ13iW7R0FdkgRf1SZNwruDjY,Tesco Express,"89-95 Lupus St, Pimlico, London SW1V 3EN, United Kingdom",51.487735,-0.1406493,supermarket,2.5,1
ChIJJTxGcQgFdkgRgSKmqzjZQi4,Tesco Express,"275-277 Battersea Park Rd, London SW11 4LU, United Kingdom",51.4746843,-0.1524636,supermarket,3.5,1
ChIJ03seTNIEdkgRu85v8tqVjL4,New Loon Moon Supermarket.,"9a Gerrard St, London W1D 5PN, United Kingdom",51.5120394,-0.1307,supermarket,4.3,0
ChIJ0Y8WTF8EdkgRrt-lpRqClk4,Lidl,"189 Clapham Rd, London SW9 0QE, United Kingdom",51.4735166,-0.120665,supermarket,4.2,0
ChIJG_oKOGcFdkgRWQEIaVvQ1rQ,Tesco Express,"87-93 Gloucester Rd, South Kensington, London SW7 4SS, United Kingdom",51.494311,-0.182281,supermarket,3,1
ChIJc_S1CJAGdkgRZTSrGmqNxRs,Sainsbury's,"480 Streatham High Rd, London SW16 3PY, United Kingdom",51.4195894,-0.1292515,supermarket,4.2,2
ChIJPxMdzyQEdkgRi7NaDgqT5Gg,MFC Supermarket,"45 Streatham Hill, London SW2 4TS, United Kingdom",51.4408287,-0.1249656,supermarket,4.2,0
ChIJTUMy8YQGdkgR3HjiiiT7bWU,Tesco Extra,"384 Streatham High Rd, London SW16 6HP, United Kingdom",51.4249387,-0.1312298,supermarket,3.9,1
ChIJBz4-cCgEdkgRtSH0k3i2e7g,Sainsbury's Local,"172-176 Streatham High Rd, London SW16 1BJ, United Kingdom",51.4324559,-0.1293498,supermarket,3.3,2
ChIJZfaPHiYEdkgRkR5QYr9JNx0,Londis,"84-92 Streatham High Rd, London SW16 1BS, United Kingdom",51.4352597,-0.1285079,supermarket,0,2
ChIJUaHV2ycEdkgRO1CqAizG7dg,Foodway Super Market,"Astoria Parade, Streatham High Rd, London SW16 1PR, United Kingdom",51.4327202,-0.1285635,supermarket,4.2,0
ChIJAR_fCIMGdkgRY8rpjJJgJr8,Costcutter,"Fast Food, Vvk, 300 Streatham High Rd, London SW16 6HG, United Kingdom",51.4278294,-0.1312515,supermarket,0,0
ChIJo_JpxSQEdkgRwG2FWFowGpI,Sainsbury's Local,"47a Streatham Hill, London SW2 4TS, United Kingdom",51.4405535,-0.1250127,supermarket,3.8,2
ChIJhY9r-yUEdkgRR5NihZr9Jno,Tesco Express,"50 Streatham High Rd, London SW16 1DA, United Kingdom",51.4370018,-0.1278655,supermarket,3.5,1
ChIJx6l6MIUGdkgRC7urVYMQsA8,Tanriseven Ltd,"418 Streatham High Rd, London SW16 3SN, United Kingdom",51.42222640000001,-0.1294456,supermarket,0,0
ChIJKTsICr8FdkgRrssiv4odA2k,Mieszko Streatham,"15 Streatham High Rd, London SW16 1DS, United Kingdom",51.4364037,-0.1275236,supermarket,4,0
ChIJrzOTaesGdkgRq0PD5TqBABQ,Corner Shop London,"1346 London Rd, Norbury, London SW16 4DG, United Kingdom",51.40850469999999,-0.1218165,supermarket,4.3,0
ChIJb5ymNwkHdkgRKHQqjfuy_RQ,Jawa super choice,"212 Eardley Rd, London SW16 5TF, United Kingdom",51.4179532,-0.136167,supermarket,5,0
ChIJtXH-1nsGdkgRjQDRzutZkrc,Budgens,"99-105 Moyser Rd, London SW16 6SJ, United Kingdom",51.4250925,-0.1481745,supermarket,4.1,1
ChIJ5ekSU4IGdkgRCmwlg4z_hIE,Fabulous Food & Wine,"14 Mitcham Ln, London SW16 6NN, United Kingdom",51.4283922,-0.1322733,supermarket,4.3,0
ChIJ31j8750GdkgRALktj3TLlcU,ALDI,"350 Streatham High Rd, London SW16 6HP, United Kingdom",51.4263051,-0.1314885,supermarket,4.3,1
ChIJH9OL2ScEdkgRtXIKxhLwiTY,The Rose Supermarket,"45a Streatham High Rd, London SW16 1EG, United Kingdom",51.432756,-0.1284692,supermarket,0,0
ChIJfeBuGSYEdkgRa5v2CcKYc8I,"88 -92 Westbury Food And Wine , LONDIS","88A Streatham High Rd, London SW16 1BS, United Kingdom",51.4352059,-0.1284423,supermarket,3,0
ChIJ6d_H-X0GdkgRS_yKMnnMh-4,Sainsbury's Local,"86, 88 Mitcham Ln, London SW16 6NR, United Kingdom",51.4250882,-0.1408205,supermarket,4.3,2
ChIJdUtjxSQEdkgRKtoaRHc2Rmg,Mediterranean Food Centre,"45B Streatham Hill, London SW2 4TS, United Kingdom",51.44070350000001,-0.1250629,supermarket,4.4,0
ChIJg8mW-EIEdkgREhkY7Tr6gYU,Tesco Superstore,"13 Acre Ln, Brixton Hill, London SW2 5RS, United Kingdom",51.4598197,-0.1196265,supermarket,3.8,1
ChIJf0juq2sEdkgRd7HYp6wZF5k,Sainsbury's,"2 Tulse Hill, London SW2 2TP, United Kingdom",51.4547415,-0.1139074,supermarket,4.1,2
ChIJYyvpo2gEdkgRtAcw3eSJ5kg,Lana Supermarket,"46 Atlantic Rd, London SW9 8JN, United Kingdom",51.4621396,-0.1123202,supermarket,4.2,0
ChIJZ7cyQz0EdkgRYmZ9Ez7zc7g,Lambeth Supermarket,"8-9 Coburg Cres, London SW2 3HS, United Kingdom",51.44251149999999,-0.117893,supermarket,4.8,0
ChIJlTSyVUAEdkgR-Z0OINbmo3E,Tesco Express,"144 Brixton Hill, London SW2 1SD, United Kingdom",51.4522321,-0.1217353,supermarket,3,1
ChIJQ1rc9jkEdkgRmlx-Xf7E3cs,Tesco Express,"30 Streatham Pl, Brixton Hill, London SW2 4QY, United Kingdom",51.4469355,-0.1278609,supermarket,1.7,1
ChIJlx8hyEEEdkgRgWsxAw4RpNw,Sainsbury's Local,"76 Brixton Hill, London SW2 1QW, United Kingdom",51.4554311,-0.1197094,supermarket,3.3,2
ChIJjSKNN0YEdkgRCeS-3-mUIOk,Londis,"17-20 Prague Pl, Lyham Rd, Brixton Hill, London SW2 5ED, United Kingdom",51.4551769,-0.1275799,supermarket,4.4,2
ChIJR1ikYDkEdkgR1rXoBwfMEqY,Sainsbury's Local,"266-270 Brixton Hill, London SW2 1HP, United Kingdom",51.4469742,-0.1245646,supermarket,3.4,2
ChIJYQ40oHcEdkgRBcffk74xW6I,Tesco Express,"128 Herne Hill, London SE24 9QH, United Kingdom",51.45368269999999,-0.1013258,supermarket,3.9,1
ChIJq3iK02cEdkgRvX9kOQk5IPM,Sainsbury's Local,"425 Brixton Rd, London SW9 8HE, United Kingdom",51.46281399999999,-0.114567,supermarket,3.4,2
ChIJzThWFRQEdkgRgArNi26rYkc,Tesco Esso Express,"109 Tulse Hill, London SW2 2QB, United Kingdom",51.44785479999999,-0.1125835,supermarket,3.8,1
ChIJ_eYhUmYEdkgR5G80dOzSDQA,Sainsbury's Local,"379 Brixton Rd, London SW9 7DE, United Kingdom",51.46436449999999,-0.1139491,supermarket,3.8,2
ChIJZQmYZU0EdkgRJk3V3VcGd0w,Little Waitrose & Partners Clapham Common,"5 The Pavement, London SW4 0HY, United Kingdom",51.4619289,-0.1387486,supermarket,4,2
ChIJUfbY33oEdkgROtg9ATnwUEg,Tesco Express,"242-248 Coldharbour Ln, London SW9 8SE, United Kingdom",51.46505310000001,-0.1033179,supermarket,3,1
ChIJt_vnFoAFdkgRKjhDlYpB7rE,Latin Market,"183 Stockwell Rd, London SW9 9SJ, United Kingdom",51.4656496,-0.1158883,supermarket,5,0
ChIJezZ-ITkEdkgRBAZ74qazYeo,Happy Shopper Neway Supermarket,"31 New Park Rd, Brixton Hill, London SW2 4DU, United Kingdom",51.448016,-0.1258647,supermarket,4.3,0
ChIJaazfnmEEdkgRDHeM3-boCkg,Low Price Food & Wine,"274A Brixton Rd, London SW9 6AG, United Kingdom",51.4706412,-0.1127792,supermarket,4.3,0
ChIJG_9hwIsEdkgR1CYmgk3GSB8,Tesco Express,"Russell Hotel, Brixton Rd, Vassal, London SW9 6BD, United Kingdom",51.47666150000001,-0.1128123,supermarket,2.9,1
ChIJ83ii0PQEdkgRcI0mofXQBtQ,Tesco Express,"131-143 Clapham Rd, Vassal, London SW9 0HR, United Kingdom",51.4759963,-0.1181055,supermarket,3.1,1
ChIJ6R0rMWEEdkgRj1XXvTl-IwM,Tesco Esso Express,"330 Brixton Rd, London SW9 7AA, United Kingdom",51.4685707,-0.1128716,supermarket,3.5,1
ChIJFTaN4VgEdkgR-Jj-078SObc,Sainsbury's Local,"314, 318 Clapham Rd, London SW9 9AE, United Kingdom",51.4704497,-0.1250652,supermarket,3.5,2
ChIJ17G7fWgEdkgRQKtUOJiF80s,Wing Tai Brixton,"13 Electric Ave, London SW9 8JY, United Kingdom",51.462142,-0.1142379,supermarket,4.2,0
ChIJfxl-ZEQEdkgRwN-Mc86lDuM,Lidl,"71-73 Acre Ln, Brixton Hill, London SW2 5TN, United Kingdom",51.4594562,-0.1237939,supermarket,4.1,0
ChIJkU-AwlgEdkgRzE_m9hoRoz8,Costcutter,"258 Clapham Rd, London SW9 9AE, United Kingdom",51.4721577,-0.122946,supermarket,3.8,1
ChIJH5mXd08BdkgR-JIPtQ6fQBM,Sainsbury's,"66 Westow St, London SE19 3RW, United Kingdom",51.4178952,-0.0826354,supermarket,3.8,2
ChIJ8boetEMBdkgRvYMjqtsq7qk,Tesco Express,"72 Anerley Rd, London SE19 2AH, United Kingdom",51.4169428,-0.07360119999999999,supermarket,3.7,1
ChIJGQwvLjwBdkgRv70_FWiC2Xo,Budgens,"207 Gipsy Rd, Norwood, London SE27 9QY, United Kingdom",51.427068,-0.0887535,supermarket,3.8,1
ChIJPVuGw08BdkgRNvhvQqH_zII,Costcutter,"248 Gipsy Rd, Norwood, London SE27 9RB, United Kingdom",51.42769269999999,-0.0862824,supermarket,4.2,1
ChIJDWATbKUGdkgRoKw3wS2WsF4,Lidl,"411 Beulah Hill, Norwood, London SE19 3UZ, United Kingdom",51.4221358,-0.1063317,supermarket,4.2,0
ChIJqcEkdaUGdkgR0t22lKZkPSE,Tesco Express,"4 Crown Ln, Norwood, London SW16 3JG, United Kingdom",51.42291909999999,-0.1067253,supermarket,3.7,1
ChIJ8VKu94IBdkgRpS2cy0ZYVvg,Palace local,"40 Anerley Hill, London SE19 2AE, United Kingdom",51.4180137,-0.0744151,supermarket,5,0
ChIJU49txE8BdkgRf3qZMyeAHr4,Co-op Food - Central Hill,"15-17 Central Hill, Gipsy Hill, London SE19 1BG, United Kingdom",51.4195213,-0.0837608,supermarket,3.1,0
ChIJu_zHSrUGdkgRLDqIDyBlUR0,Off Licence + Oyster + Cashpoint,"106 Spa Hill, London SE19 3TZ, United Kingdom",51.4111868,-0.0936664,supermarket,4.2,0
ChIJQaOyB7kGdkgRBPDnety5m2w,Sara Food and Wine,"Bigginwood Cottages, 3, St. Oswalds Rd, London SW16 3SD, United Kingdom",51.4133027,-0.1061479,supermarket,4.4,0
ChIJjcoRAGIBdkgRyIFELf0UGkg,WELLSPARK SUPERMARKET,"74-76 Wells Park Rd, London SE26 6JJ, United Kingdom",51.4308947,-0.06430659999999999,supermarket,4.2,0
ChIJN06cKS4BdkgRol-X16f5j78,Sainsbury's,"120-122 Whitehorse Ln, London SE25 6XB, United Kingdom",51.398613,-0.0869331,supermarket,4.1,2
ChIJJepfEwMEdkgRty_TSi-gBrI,Tesco Express,"1-5 Croxted Rd, Norwood, London SE21 8SZ, United Kingdom",51.4362065,-0.0908022,supermarket,3.8,1
ChIJt1VSpjwBdkgRQMITXZWkHG0,Tesco Express,"1-9 S Norwood Hill, London SE25 6AA, United Kingdom",51.3997177,-0.0753607,supermarket,3.1,1
ChIJMx5e_4EBdkgRkbb--JV_Rp4,Shakthi Supermarket London,"5 Sydenham Rd, London SE26 5EZ, United Kingdom",51.42659399999999,-0.054095,supermarket,4.2,0
ChIJ-ZMIcXEBdkgRt_XYJ32OYB0,Tesco Express,"74 High St, London SE20 7EX, United Kingdom",51.4160356,-0.0549943,supermarket,3.2,1
ChIJS7MWHAMEdkgR2YdLZCdXmfo,Tesco Express,"W, 551 Norwood Rd, Norwood, London SE27 9DL, United Kingdom",51.43384649999999,-0.1033239,supermarket,3.3,1
ChIJadS1J4wEdkgRCrQxqf80HMg,Low Cost Supermarket,"28 Brixton Rd, London SW9, United Kingdom",51.4800485,-0.1115868,supermarket,0,0
ChIJRT5LV0QEdkgRfTlWB206cEk,Costcutter,"97 Acre Ln, Brixton Hill, London SW2 5TU, United Kingdom",51.4594534,-0.1252675,supermarket,2,1
ChIJO6LvFXMEdkgRow7bUIRikho,Sainsbury's Local,"132a Herne Hill, London SE24 9QH, United Kingdom",51.4533452,-0.1013189,supermarket,3.8,2
ChIJWZBeuG8EdkgRp7PhNx1Zw3M,Moorlands Grocery Convenience Store,"52 Corry Dr, London SW9 8QT, United Kingdom",51.4601044,-0.1069165,supermarket,4.2,0
ChIJA7ztfIADdkgR9alvAWsb9B4,Costcutter,"122 Denmark Hill, London SE5 8RX, United Kingdom",51.4704896,-0.0931067,supermarket,3.6,1
ChIJZVJOlfkEdkgRxFcUwAvFTPI,Day 1,"182 Wandsworth Rd, London SW8 2LA, United Kingdom",51.4765393,-0.1305656,supermarket,4.4,0
ChIJgfpYZe4EdkgRQSo_dspi9nw,Little Waitrose & Partners Vauxhall,"3 Bondway, London SW8 1SJ, United Kingdom",51.4853414,-0.1240337,supermarket,4.1,2
ChIJ-1fkefoEdkgR9OKdXWakSQ0,Sainsbury's,"62 Wandsworth Rd, Nine Elms, London SW8 2LF, United Kingdom",51.4807631,-0.1281256,supermarket,4.3,2
ChIJTUW1kAYFdkgR-Vs5n_AX8EM,Little Waitrose & Partners Battersea,"326 Queenstown Rd, Nine Elms, London SW8 4NE, United Kingdom",51.4783528,-0.148085,supermarket,3.9,2
ChIJN93RJ_sEdkgRC_pIdhe5k98,Waitrose & Partners Battersea - Nine Elms,"1 New Union Square, Nine Elms, London SW11 7DN, United Kingdom",51.4824493,-0.1349409,supermarket,4.3,2
ChIJ3VIiVu4EdkgRh-e27394yFk,Tesco Express,"16, 22 Wandsworth Rd, London SW8 2JW, United Kingdom",51.485011,-0.1260491,supermarket,3.8,1
ChIJ9WgNuvkEdkgRx35Dktf57UI,Tesco Express,"202-230 Wandsworth Rd, London SW8 2JU, United Kingdom",51.4753207,-0.1319902,supermarket,2.4,1
ChIJBaHslPgEdkgR8-SD_LS8V70,Costcutter,"262-264 Wandsworth Rd, Nine Elms, London SW8 2JS, United Kingdom",51.4742731,-0.1328497,supermarket,3.9,1
ChIJyQVUGK8FdkgR30cZetR_oEw,Tesco Express,"827-833 Wandsworth Rd, London SW8 3JL, United Kingdom",51.46621990000001,-0.1499502,supermarket,3.5,1
ChIJhxQSre8EdkgRwO4IjFRi70Y,Vauxhall Express,"16, 22 Wandsworth Rd, Nine Elms, London SW8, United Kingdom",51.48496919999999,-0.1260439,supermarket,0,0
ChIJ3SDX4O0EdkgRPmYG4S15P-s,Sainsbury's Local,"7-11 S Lambeth Pl, London SW8 1SP, United Kingdom",51.4861152,-0.1230653,supermarket,3.6,2
ChIJnb6yI68FdkgRe2b0GCx9QDs,Sainsbury's Local,"646-650 Wandsworth Rd, London SW8 3SB, United Kingdom",51.4664702,-0.1502295,supermarket,3.8,2
ChIJndhlBf0EdkgRRSlIEkbDBUw,Sainsbury's Local,"Tideway Industrial Estate, Nine Elms, London SW8 5BP, United Kingdom",51.481353,-0.1385358,supermarket,3.4,2
ChIJ1cD9TfgEdkgRgjMG82bQT5c,Londis,"347 Wandsworth Rd, London SW8 2JH, United Kingdom",51.47525460000001,-0.1312564,supermarket,0,2
ChIJBaHslPgEdkgRRCsIsp7a1Ys,Cheung's Oriental,"270 Wandsworth Rd, Nine Elms, London SW8 2JR, United Kingdom",51.474118,-0.1330205,supermarket,4.6,0
ChIJ_c6UA2oFdkgR3c_TOUtwv_0,Shop and Go,"61 Bondway, London SW8 1SJ, United Kingdom",51.4844734,-0.1245488,supermarket,4.1,0
ChIJTVZXMasFdkgRd3Jwu7zrmoE,Quick Stop Super Store,"595 Wandsworth Rd, London SW8 3JD, United Kingdom",51.46932469999999,-0.1411148,supermarket,4.3,0
ChIJsfLLG_8EdkgReQduQ8aQg-8,Londis,"8-10 Condell Rd, Nine Elms, London SW8 4JA, United Kingdom",51.474998,-0.136989,supermarket,3,2
ChIJvWTxTM4EdkgRY2f_V0GXNgI,Tesco Express,"1-4, London SW1A 2DR, United Kingdom",51.5072099,-0.1271501,supermarket,3.6,1
ChIJoz38IhoFdkgR_8RSmgKf8lI,Sainsbury's Local,"1 Gatliff Rd, London SW1W 8DT, United Kingdom",51.48823549999999,-0.1507196,supermarket,4.1,2
ChIJAV0Ng1AEdkgRGAf_0ayzx20,Sainsbury's Local,"399, 407 Clapham Rd, London SW9 9BT, United Kingdom",51.46555040000001,-0.1290767,supermarket,3.5,2
ChIJ2V3RKZEFdkgRJhIClS75Qv8,Sainsbury's Local,"33 Clapham High St, London SW4 7TP, United Kingdom",51.46407139999999,-0.1313589,supermarket,2.2,0
ChIJPV1rUV8EdkgRDBMrEnUjn4M,Sainsbury's Local,"2A, 2D Binfield Rd, London SW4 6TA, United Kingdom",51.4727745,-0.1228217,supermarket,3.7,2
ChIJH0T6-f0EdkgR9j8v618irGc,Costcutter,"180 Thessaly Rd, Nine Elms, London SW8 4ED, United Kingdom",51.4790944,-0.1408255,supermarket,3.6,1
ChIJha_QlT0FdkgRqNSfYiJMUwk,Battersea General St,"Power Station, Units 9 & 10, Circus Rd W, London SW11 8EZ, United Kingdom",51.48240389999999,-0.145941,supermarket,4.3,0
ChIJ-dUjHg4EdkgRxTTV3AVn6jg,Maxy Supermarket,"4-6 Norwood Rd, Norwood, London SE24 9BH, United Kingdom",51.4464075,-0.1050605,supermarket,4,0
ChIJ3fdOcHIEdkgRu_ElZ_ABBsI,Hamilton Supermarket,"128 Railton Rd, London SE24 0JX, United Kingdom",51.455642,-0.105059,supermarket,4.4,0
ChIJwdSd2H0FdkgR4seCkSVITDU,Budgens,"Budgens, Half Moon Ln, London SE24 9JY, United Kingdom",51.4533383,-0.0940225,supermarket,4,0
ChIJoydiJHMEdkgRUX5M2ReUpVg,I A A Supermarket,"309 Railton Rd, London SE24 0JN, United Kingdom",51.4528335,-0.1020524,supermarket,3,0
ChIJ0fLg03UEdkgRpKDRb29OJr0,Londis,"71 Herne Hill, London SE24 9NE, United Kingdom",51.4568006,-0.09622159999999999,supermarket,4,2
ChIJc3BsFgwEdkgR4R07e6qsxvA,Andreas Haralambous Grocer,"268 Rosendale Rd, Norwood, London SE24 9DL, United Kingdom",51.447703,-0.1007249,supermarket,4.9,0
ChIJV8xbEQwEdkgRmgqrU7kOow4,Tk Food & Wine,"264 Rosendale Rd, Norwood, London SE24 9DL, United Kingdom",51.4476303,-0.1005531,supermarket,3.9,0
ChIJx0og_YgDdkgR11FsbfnivsM,Anijh Supermarket,"20 Crossthwaite Ave, London SE5 8ET, United Kingdom",51.4598662,-0.0902302,supermarket,4.2,0
ChIJXSBsAcIDdkgRp_WR1KN5xEU,Tesco Express,"125 Denmark Hill, London SE5 5EJ, United Kingdom",51.4669227,-0.0904478,supermarket,3.2,0
ChIJ86KhV38EdkgR71AeZs9_mw4,M&S Food To Go,"Denmark Hill, London SE5 9RS, United Kingdom",51.4678774,-0.0945103,supermarket,4.3,2
ChIJyf8ptAwEdkgR6SD26ZVMmPs,Costcutter - Herne Hill,"31-39 Norwood Rd, London SE24 9AA, United Kingdom",51.451814,-0.1010379,supermarket,3.9,1
ChIJKdW8oJoDdkgRcOld9uGQAh4,Sainsbury's,"80 Dog Kennel Hill, London SE22 8BB, United Kingdom",51.4619866,-0.0848729,supermarket,4.2,2
ChIJXahD6X4EdkgR_vq0kIuEZgI,Budgens,"112-114 Coldharbour Ln, London SE5 9PZ, United Kingdom",51.4692479,-0.097754,supermarket,3.9,0
ChIJxxkb0ESq2EcREjx4zWDkmLs,Tesco Superstore,"Homesdale Rd, Bromley BR1 2UE, United Kingdom",51.4000678,0.0316809,supermarket,3.9,1
