place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJb9PCkkEEdkgRDyzsGW5XdIg,Lambeth College - Brixton Centre,"56 Brixton Hill, London SW2 1QS, United Kingdom",51.4564172,-0.1189836,,4,0
ChIJn4GUxTUFdkgRO-ZWAZ00KpY,Learnforth University,"Salford Rd, London WC2N 5DU, United Kingdom",51.4415703,-0.1336639,,5,0
ChIJQ04_S2QFdkgRq54qSvOo6U0,Harris Academy,"73 Kings Ave, Brixton Hill, London SW4 8DX, United Kingdom",51.4555432,-0.12883,,0,0
ChIJt4xTRyYFdkgRMoQF-GvBHYI,University,"University of wales trinity said david, United Kingdom",51.4798647,-0.1092821,,0,0
ChIJldb7OqAEdkgR5FfD5fcOr_8,London South Bank University,"103 Borough Rd, London SE1 0AA, United Kingdom",51.4978153,-0.1011675,,4,0
ChIJi5yzN7MFdkgRFlTdjpJcRpE,Lambeth College Clapham Centre,"45 Clapham Common South Side, London SW4 9BL, United Kingdom",51.4590914,-0.1413925,,3.3,0
ChIJb_etmQgGdkgRkXzg_R_ORJY,St George's University of London,"Cranmer Terrace, London SW17 0RE, United Kingdom",51.4269516,-0.1738811,,4.4,0
ChIJeTLpkroFdkgRTgLZl75eWM8,College,"London SW12 0NS, United Kingdom",51.4466818,-0.141161,,0,0
ChIJXWE4334EdkgRFePbClLHPII,"The James Black Centre, King's College London","Sir James Black Centre for Cell and Integrative Biology, 125 Coldharbour Ln, London SE5 9NU, United Kingdom",51.4687438,-0.09680169999999999,,3.5,0
ChIJ4dRmlrUEdkgRnui157UbBys,King's College London,"10 Cutcombe Rd, London SE5 9RJ, United Kingdom",51.4683751,-0.0960211,,4.7,0
ChIJoV_pI86k2EcRKeOLNMUvmhM,DLondon Vesta College,"14, Loin Yd, Tremadoc Rd, London SW4 7NQ, United Kingdom",51.4631657,-0.1317909,,0,0
ChIJ16jB4fgEdkgRY3W_xd6HrhE,Lambeth College UCU,"Belmore St, Wandsworth Rd, London SW8 2JY, United Kingdom",51.475708,-0.1329305,,2.3,0
ChIJ25cDy3gEdkgRZoDggIdHees,Clinical Research Wing,"129-131 Coldharbour Ln, London SE5 9NY, United Kingdom",51.4676549,-0.0952575,,5,0
ChIJ_bZd9H0EdkgRB4FOw5SP9l4,Borough College London,"61 Paulet Rd, Vassal, London SE5 9HW, United Kingdom",51.47180549999999,-0.1011125,,5,0
ChIJxzkMcYIDdkgR2WoxMhfGZvQ,University of the Arts Camberwell College of Arts,"1 Wilson Rd, London SE5 8LU, United Kingdom",51.472767,-0.0859414,,4.3,0
ChIJoYT6BS4bdkgRelGnuTI4IjU,University of London,"Senate House, Malet St, London WC1E 7HU, United Kingdom",51.5229378,-0.1308206,,4.5,0
ChIJxa6mYLcEdkgR5Hqd501sVOk,King's College London Waterloo Campus,"Stamford St, London SE1 9NH, United Kingdom",51.5058203,-0.1138156,,4.5,0
ChIJUQyDP5cEdkgRXarD212eM-A,IntoUniversity Kennington,"Keyworth Primary School, Faunce St, London SE17 3TR, United Kingdom",51.4863198,-0.1048368,,5,0
ChIJY1wp6pAEdkgRDc5yU51Y3iI,City & Guilds of London Art School,"124 Kennington Park Rd, London SE11 4DJ, United Kingdom",51.4872287,-0.1074457,,5,0
ChIJq7pf3Y4EdkgRe5cpX_uLg3Y,University of Wales Trinity St David - London,"Winchester House, 11 Cranmer Rd, Vassal, London SW9 6EJ, United Kingdom",51.479754,-0.1092749,,4.1,0
