code,fire_station_rating_mean_1500,fire_station_rating_std_1500,fire_station_count_1500,fire_station_rating_mean_1000,fire_station_rating_std_1000,fire_station_count_1000,fire_station_rating_mean_500,fire_station_rating_std_500,fire_station_count_500,fire_station_min
BR1 5SP,4.6,0.0,1,0.0,0.0,0,0.0,0.0,0,1.26594661555046
CR4 1TL,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.4003402589020686
CR4 1TN,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3971358532805223
CR4 1WD,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WF,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WG,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WL,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WP,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WU,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WX,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
CR4 1WY,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1.3921328058911615
SE1 7AA,1.2285714285714289,2.126589041724083,7,0.0,0.0,2,0.0,0.0,1,0.04602712511367058
SE1 7AB,1.2285714285714289,2.126589041724083,7,0.0,0.0,2,0.0,0.0,1,0.13173261410407047
SE1 7AD,1.2285714285714289,2.126589041724083,7,0.0,0.0,2,0.0,0.0,1,0.22849541282828406
SE1 7AE,1.2285714285714289,2.126589041724083,7,0.0,0.0,2,0.0,0.0,1,0.28714563293561474
SE1 7AF,1.6333333333333335,2.530349119522179,6,0.0,0.0,1,0.0,0.0,1,0.46460566487999233
SE1 7AG,2.1500000000000004,2.5304808502206324,4,2.45,3.464823227814083,2,4.9,0.0,1,0.06659672175231938
SE1 7AH,1.7200000000000002,2.3931151246858144,5,2.45,3.464823227814083,2,4.9,0.0,1,0.23978341996894514
SE1 7AJ,1.2285714285714289,2.126589041724083,7,0.0,0.0,2,0.0,0.0,1,0.3163247416925858
SE1 7AL,1.2285714285714289,2.126589041724083,7,0.0,0.0,2,0.0,0.0,1,0.3163247416925858
SE1 7AN,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.29053813765561437
SE1 7AP,2.45,3.464823227814083,2,4.9,0.0,1,4.9,0.0,1,0.25790407172242924
SE1 7AQ,2.45,3.464823227814083,2,4.9,0.0,1,4.9,0.0,1,0.25790407172242924
SE1 7AR,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.32601202047331845
SE1 7AS,2.45,3.464823227814083,2,4.9,0.0,1,4.9,0.0,1,0.25790407172242924
SE1 7AT,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.3283530151829803
SE1 7AU,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.23103411675533703
SE1 7AW,0.9800000000000001,2.191346617949794,5,0.0,0.0,1,0.0,0.0,1,0.39780276208177107
SE1 7AX,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.23103411675533703
SE1 7AY,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.16695524544299156
SE1 7AZ,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.20063342580052704
SE1 7BA,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.19338157212402501
SE1 7BB,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.27100924226516065
SE1 7BD,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.29571413683915915
SE1 7BE,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.22132405787517928
SE1 7BF,1.6333333333333335,2.530349119522179,6,0.0,0.0,2,0.0,0.0,0,0.6010616970611647
SE1 7BG,1.4333333333333336,2.252702081205295,6,0.0,0.0,2,0.0,0.0,1,0.3133533316080704
SE1 7BH,1.2285714285714289,2.126589041724083,7,1.6333333333333335,2.8290163190291664,3,0.0,0.0,1,0.36071614432871785
SE1 7BJ,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,1,0.47534240650626935
SE1 7BL,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,0,0.5422402759741296
SE1 7BN,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,0,0.5245241494416013
SE1 7BQ,1.6333333333333335,2.530349119522179,6,0.0,0.0,1,0.0,0.0,1,0.4034867002945944
SE1 7BT,1.7200000000000002,2.3931151246858144,5,2.45,3.464823227814083,2,4.9,0.0,1,0.25307705570542843
SE1 7BU,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,0,0.5105959987971948
SE1 7BW,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,0,0.5432021642599705
SE1 7BX,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,0,0.5298551454030324
SE1 7BY,1.7200000000000002,2.3931151246858144,5,1.6333333333333335,2.8290163190291664,3,0.0,0.0,0,0.5171165411211565
