code,place_type,place_trating_date,place_name,place_address,place_lat,place_lng,place_distance
SW16 5TA,Retailers - other,2018-06-13T23:00:00.000000Z,Leonard Mini-Market,"11 Leonard Road, Streatham, London",51.412892,-0.143292,0.03
SW16 5TA,Restaurant/Cafe/Canteen,2019-03-04T00:00:00.000000Z,Mums cafe 11,"7 Leonard Road, Streatham, London",51.412892,-0.143292,0.03
SW16 5TA,Hospitals/Childcare/Caring Premises,2020-11-03T00:00:00.000000Z,Kiddies Kottage Nursery,"6 Lilian Road, Streatham, London",51.412715,-0.142968,0.04
SW16 5TA,Pub/bar/nightclub,2019-04-15T23:00:00.000000Z,The Vale,"The Vale At Streatham, 1A Lilian Road, Streatham",51.4129334,-0.1420149,0.08
SW16 5TA,Takeaway/sandwich shop,2019-10-30T00:00:00.000000Z,Dragon Inn,"376 Grove Road, Mitcham",51.411802,-0.145478,0.1
SW16 5TA,Retailers - other,2018-06-13T23:00:00.000000Z,Sunshine Food and Wine,"378 Grove Road, Mitcham",51.411802,-0.145478,0.1
SW16 5TA,Takeaway/sandwich shop,2018-12-07T00:00:00.000000Z,Star Kebab,"366 Grove Road, Mitcham",51.411802,-0.145478,0.1
SW16 5TA,Retailers - other,2018-08-27T23:00:00.000000Z,Grove Mini Mart,"372 Grove Road, Mitcham",51.41180038,-0.145478,0.1
SW16 5TA,Other catering premises,2020-02-14T00:00:00.000000Z,Young People Matter - After School Club,"Granton Primary School, Granton Road, London",51.414216,-0.141742,0.13
SW16 5TA,School/college/university,2019-06-04T23:00:00.000000Z,Granton Primary School,"Granton Road, London",51.414216,-0.141742,0.13
SW16 5TA,Retailers - other,2019-02-20T00:00:00.000000Z,Chimes News 2,"1 Greyhound Terrace, Streatham, London",51.412533,-0.141063,0.13
SW16 5TA,Retailers - other,2018-11-26T00:00:00.000000Z,Vale Mini Market,"134 Streatham Vale, London",51.414235,-0.141267,0.15
SW16 5TA,Restaurant/Cafe/Canteen,2018-11-22T00:00:00.000000Z,Signor Ciccio,"Ground Floor, 132 Streatham Vale, London",51.414235,-0.141267,0.15
SW16 5TA,Retailers - supermarkets/hypermarkets,2020-01-14T00:00:00.000000Z,Lidl,"216 Rowan Road, Streatham, London",51.411108,-0.140243,0.2
SW16 5TA,Restaurant/Cafe/Canteen,2019-01-23T00:00:00.000000Z,Chicken Express,"Shop, 180 Rowan Road, Streatham",51.41110611,-0.14024299,0.2
SW16 5TA,Takeaway/sandwich shop,2018-05-09T23:00:00.000000Z,Rowan Tandoori,"174 Rowan Road, Streatham, London",51.411046,-0.140303,0.2
SW16 5TA,Retailers - other,2019-01-23T00:00:00.000000Z,Shell Rowan Road,"7 Rowan Road, Streatham, London",51.409245,-0.142433,0.26
SW16 5TA,Retailers - other,2020-01-14T00:00:00.000000Z,Vivian Ltd,"21 Rowan Road, Streatham, London",51.409245,-0.142433,0.26
SW16 5TA,Restaurant/Cafe/Canteen,2019-05-01T23:00:00.000000Z,Fornos Delicatessen,"17A Rowan Road, Streatham, London",51.409245,-0.142433,0.26
SW16 5TA,Restaurant/Cafe/Canteen,2020-03-05T00:00:00.000000Z,Dan Grill Express,"19 Rowan Road, Streatham, London",51.409245,-0.142433,0.26
SE11 6EH,Restaurant/Cafe/Canteen,2020-10-06T23:00:00.000000Z,Forno / Big Ben Pizza,"145-147 Lambeth Walk, London",51.492705,-0.116483,0.01
SE11 6EH,Takeaway/sandwich shop,2019-07-29T23:00:00.000000Z,Lee's Fish \& Chips,"151 Lambeth Walk, London",51.492705,-0.116483,0.01
SE11 6EH,Retailers - other,2016-08-18T23:00:00.000000Z,London News,"155 Lambeth Walk, London",51.4927063,-0.116483,0.01
SE11 6EH,Retailers - other,2019-10-08T23:00:00.000000Z,Patterson Heath \& Co.,"143 Lambeth Walk, London",51.4927063,-0.116483,0.01
SE11 6EH,Other catering premises,2020-02-24T00:00:00.000000Z,Lambeth Walk Day Centre,"107-119 Lambeth Walk, London",51.492705,-0.116483,0.01
SE11 6EH,Other catering premises,,Creative Sparkworks,"157 Lambeth Walk, London",51.4923881,-0.1168763,0.02
SE11 6EH,Restaurant/Cafe/Canteen,2018-10-24T23:00:00.000000Z,Pharmacy2,"9 Newport Street, London",51.493061,-0.117404,0.05
SE11 6EH,Restaurant/Cafe/Canteen,2018-10-05T23:00:00.000000Z,The Ragged Canteen At Beaconsfield,"22 Newport Street, London",51.492093,-0.118698,0.09
SE11 6EH,Takeaway/sandwich shop,2020-02-26T00:00:00.000000Z,Porters,"55 Black Prince Road, London",51.491649,-0.119033,0.12
SE11 6EH,Pub/bar/nightclub,2019-03-09T00:00:00.000000Z,Zeitgeist @ The Jolly Gardeners,"The Jolly Gardeners Public House, 49-51 Black Prince Road, London",51.491649,-0.119033,0.12
SE11 6EH,Retailers - other,2018-10-03T23:00:00.000000Z,Prince Food \& Wine,"57-59 Black Prince Road, London",51.491649,-0.119033,0.12
SE11 6EH,Restaurant/Cafe/Canteen,2020-02-26T00:00:00.000000Z,Queen's Head Cafe,"Queens Cafe Bar, 71 Black Prince Road, London",51.491648,-0.119033,0.12
