code,restaurant_rating,restaurant_hygiene,restaurant_bad,exist_Retailers,post_Retailers_500,post_Retailers_1000,post_Retailers_1000,exist_Restaurant,post_Restaurant_500,post_Restaurant_1000,post_Restaurant_1500,exist_Manufacturers,post_Manufacturers_500,post_Manufacturers_1000,post_Manufacturers_1500,exist_Hotel,post_Hotel_500,post_Hotel_1000,post_Hotel_1500,exist_Importers,post_Importers_500,post_Importers_1000,post_Importers_1500,exist_Mobile,post_Mobile_500,post_Mobile_1000,post_Mobile_1500,exist_Pub,post_Pub_500,post_Pub_1000,post_Pub_1500,exist_Hospitals,post_Hospitals_500,post_Hospitals_1000,post_Hospitals_1500,exist_Takeaway,post_Takeaway_500,post_Takeaway_1000,post_Takeaway_1500,exist_School,post_School_500,post_School_1000,post_School_1500,exist_catering,post_catering_500,post_catering_1000,post_catering_1500,exist_shops,post_shops_500,post_shops_1000,post_shops_1500
SW16 5TA,Good restaurant hygiene,4.10,5,True,1,0,0,True,5,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,1,0,0,True,1,0,0,True,3,0,0,True,1,0,0,True,1,0,0,True,7,0,0
SE11 6EH,Average restaurant hygiene,3.94,10,False,0,0,0,True,7,0,0,False,0,0,0,True,1,0,0,False,0,0,0,False,0,0,0,True,1,0,0,True,1,0,0,True,3,0,0,True,1,0,0,True,2,0,0,True,4,0,0
SW8 2NH,Very poor restaurant hygiene,3.05,30,True,1,0,0,True,7,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,4,0,0,False,0,0,0,True,3,0,0,False,0,0,0,True,1,0,0,True,4,0,0
SW2 5TX,Poor restaurant hygiene,3.37,15,False,0,0,0,True,8,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,1,0,0,False,0,0,0,True,7,0,0,False,0,0,0,True,1,0,0,True,3,0,0
SW8 3LP,Good restaurant hygiene,3.89,5,False,0,0,0,True,5,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,1,0,0,True,2,0,0,True,8,0,0,True,1,0,0,False,0,0,0,True,3,0,0
SE27 0RN,Average restaurant hygiene,3.95,10,False,0,0,0,True,5,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,1,0,0,True,2,0,0,True,3,0,0,True,1,0,0,True,2,0,0,True,6,0,0
SE11 5SU,Good restaurant hygiene,4.53,5,False,0,0,0,True,2,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,4,0,0,True,3,0,0,False,0,0,0,True,2,0,0,True,1,0,0,True,6,0,0,True,2,0,0
SW2 4NA,Very poor restaurant hygiene,3.94,20,True,2,0,0,True,3,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,2,0,0,False,0,0,0,True,2,0,0,True,1,0,0,True,5,0,0,True,5,0,0
SE27 0EE,Average restaurant hygiene,4.00,10,False,0,0,0,True,2,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,1,0,0,True,1,0,0,True,4,0,0,True,5,0,0,False,0,0,0,True,7,0,0
SW4 6DB,Poor restaurant hygiene,4.21,15,False,0,0,0,True,9,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,True,4,0,0,True,1,0,0,True,2,0,0,False,0,0,0,False,0,0,0,True,4,0,0
